Student_ID,First_Name,Last_Name,SLU_Email,Program,Major,Enrollment_Year,Expected_Graduation_Year,Visa_Status,City,State,Country,Current_Employer_ID,Internship_Role,Internship_Start_Date
199,Michael,Walls,michael.walls139@slu.edu,MS Software Engineering,Biostatistics,2018,2020,STEM-OPT,Scottsdale,AZ,USA,102.0,Data Analyst Intern,2018-07-09
200,Samuel,Marquez,samuel.marquez871@slu.edu,MS Computer Science,Business Analytics,2024,2025,CPT,Tempe,AZ,USA,210.0,Data Analyst Intern,2024-08-17
201,Steven,Villarreal,steven.villarreal350@slu.edu,MS Computer Science,Cybersecurity,2018,2020,STEM-OPT,Cambridge,MA,USA,,,
202,Kimberly,Johnson,kimberly.johnson619@slu.edu,MS Data Science,Marketing,2019,2022,F1,Savannah,GA,USA,,,
203,Sheila,Cooper,sheila.cooper982@slu.edu,MS Cybersecurity,Electrical Engineering,2018,2019,OPT,Tucson,AZ,USA,835.0,DevOps Intern,2018-10-21
204,Donna,Mitchell,donna.mitchell615@slu.edu,MS Cybersecurity,Biostatistics,2021,2023,OPT,Colorado Springs,CO,USA,,,
205,Miguel,Pacheco,miguel.pacheco119@slu.edu,MS Cybersecurity,Software Engineering,2022,2025,OPT,San Jose,CA,USA,,,
206,Ashley,Mcfarland,ashley.mcfarland553@slu.edu,MS Analytics,Finance,2018,2021,OPT,Colorado Springs,CO,USA,680.0,Software Intern,2021-01-25
207,Leah,Fisher,leah.fisher496@slu.edu,MS Software Engineering,Marketing,2021,2022,STEM-OPT,Atlanta,GA,USA,851.0,Software Intern,2021-02-18
208,Zachary,Perez,zachary.perez560@slu.edu,MS Computer Science,Software Engineering,2023,2026,OPT,Atlanta,GA,USA,,,
209,Daniel,Lewis,daniel.lewis834@slu.edu,MBA,Marketing,2019,2022,CPT,San Antonio,TX,USA,,,
210,Jonathan,Deleon,jonathan.deleon74@slu.edu,MBA,Data Science,2019,2020,STEM-OPT,Dallas,TX,USA,,,
211,Cory,Bowman,cory.bowman496@slu.edu,MS Analytics,Marketing,2022,2023,OPT,Tampa,FL,USA,100.0,Software Intern,2022-03-24
212,Jennifer,Blackwell,jennifer.blackwell597@slu.edu,MS Information Systems,Cybersecurity,2024,2026,OPT,Phoenix,AZ,USA,546.0,Research Assistant,2024-04-27
213,Eric,Mitchell,eric.mitchell859@slu.edu,MS Computer Science,Electrical Engineering,2018,2021,CPT,Philadelphia,PA,USA,,,
214,Zachary,Torres,zachary.torres712@slu.edu,MS Computer Science,Computer Science,2018,2021,STEM-OPT,Tempe,AZ,USA,370.0,Research Assistant,2021-06-01
215,Joshua,Lam,joshua.lam377@slu.edu,MS Cybersecurity,Business Analytics,2022,2024,OPT,Pittsburgh,PA,USA,,,
216,Brittany,Evans,brittany.evans665@slu.edu,MS Computer Science,Software Engineering,2022,2025,OPT,Savannah,GA,USA,,,
217,Kelly,Gray,kelly.gray76@slu.edu,MS Computer Science,Marketing,2018,2020,OPT,Columbus,OH,USA,992.0,Research Assistant,2020-06-19
218,Christina,Gutierrez,christina.gutierrez10@slu.edu,MS Information Systems,Marketing,2021,2022,OPT,Miami,FL,USA,,,
219,Michael,Vaughn,michael.vaughn633@slu.edu,MS Computer Science,Electrical Engineering,2023,2025,OPT,San Jose,CA,USA,,,
220,Sarah,Gallagher,sarah.gallagher538@slu.edu,MBA,Computer Science,2023,2024,F1,Albany,NY,USA,,,
221,Tracy,Hanson,tracy.hanson525@slu.edu,MS Cybersecurity,Electrical Engineering,2022,2025,F1,Grand Rapids,MI,USA,353.0,Data Analyst Intern,2025-09-30
222,Matthew,Crosby,matthew.crosby558@slu.edu,MS Cybersecurity,Finance,2018,2019,F1,Grand Rapids,MI,USA,,,
223,Theresa,Lewis,theresa.lewis764@slu.edu,MS Cybersecurity,Computer Science,2022,2024,STEM-OPT,Boulder,CO,USA,,,
224,Anthony,Washington,anthony.washington127@slu.edu,MS Computer Science,Marketing,2019,2020,CPT,Rochester,NY,USA,701.0,Software Intern,2020-12-19
225,Kayla,Scott,kayla.scott18@slu.edu,MBA,Cybersecurity,2020,2023,F1,San Francisco,CA,USA,,,
226,Edward,Reid,edward.reid781@slu.edu,MS Data Science,Cybersecurity,2024,2027,STEM-OPT,Bellevue,WA,USA,306.0,Research Assistant,2027-12-01
227,Gary,Molina,gary.molina561@slu.edu,MBA,Finance,2021,2023,CPT,Naperville,IL,USA,66.0,Data Analyst Intern,2021-01-28
228,Chloe,Pittman,chloe.pittman587@slu.edu,MS Information Systems,Finance,2019,2022,CPT,Grand Rapids,MI,USA,,,
229,Erica,Molina,erica.molina663@slu.edu,MBA,Marketing,2021,2023,CPT,Buffalo,NY,USA,,,
230,Gabriel,Sullivan,gabriel.sullivan511@slu.edu,MS Analytics,Computer Science,2020,2022,STEM-OPT,Columbia,MO,USA,764.0,Software Intern,2020-12-01
231,James,Hayes,james.hayes70@slu.edu,MS Information Systems,Information Systems,2020,2022,CPT,Boulder,CO,USA,655.0,Software Intern,2022-05-23
232,Victoria,Jacobson,victoria.jacobson936@slu.edu,MS Analytics,Finance,2024,2025,CPT,Alpharetta,GA,USA,312.0,QA Intern,2025-03-17
233,Jennifer,Hines,jennifer.hines24@slu.edu,MS Analytics,Information Systems,2020,2023,F1,Dallas,TX,USA,,,
234,Bruce,Williams,bruce.williams599@slu.edu,MS Analytics,Data Science,2023,2024,OPT,San Francisco,CA,USA,728.0,Research Assistant,2024-11-28
235,Ryan,Hughes,ryan.hughes250@slu.edu,MBA,Marketing,2019,2020,OPT,Charlotte,NC,USA,684.0,Data Analyst Intern,2020-06-03
236,Jessica,King,jessica.king549@slu.edu,MS Cybersecurity,Computer Science,2024,2025,CPT,Colorado Springs,CO,USA,,,
237,Sabrina,Little,sabrina.little953@slu.edu,MS Analytics,Business Analytics,2022,2023,F1,Denver,CO,USA,,,
238,Cory,Scott,cory.scott576@slu.edu,MS Analytics,Finance,2021,2022,F1,Bellevue,WA,USA,,,
239,Jennifer,Edwards,jennifer.edwards298@slu.edu,MS Data Science,Information Systems,2024,2025,STEM-OPT,Boston,MA,USA,,,
240,Jasmine,Kirk,jasmine.kirk157@slu.edu,MS Information Systems,Data Science,2020,2022,F1,Chicago,IL,USA,621.0,Software Intern,2020-12-28
241,Susan,Escobar,susan.escobar549@slu.edu,MS Analytics,Finance,2021,2024,STEM-OPT,Buffalo,NY,USA,,,
242,David,Fitzgerald,david.fitzgerald237@slu.edu,MS Cybersecurity,Software Engineering,2018,2021,CPT,Colorado Springs,CO,USA,387.0,QA Intern,2019-10-14
243,Corey,Graves,corey.graves947@slu.edu,MS Information Systems,Data Science,2018,2019,F1,Seattle,WA,USA,,,
244,Martha,Moss,martha.moss628@slu.edu,MS Software Engineering,Information Systems,2021,2022,CPT,New York,NY,USA,,,
245,Joe,Contreras,joe.contreras12@slu.edu,MBA,Computer Science,2021,2022,STEM-OPT,Scottsdale,AZ,USA,512.0,Data Analyst Intern,2021-09-16
246,David,Robinson,david.robinson401@slu.edu,MS Computer Science,Data Science,2023,2026,F1,Tampa,FL,USA,287.0,Data Analyst Intern,2025-11-27
247,Ana,Graham,ana.graham97@slu.edu,MBA,Marketing,2019,2020,CPT,Tacoma,WA,USA,,,
248,Allison,Bruce,allison.bruce824@slu.edu,MS Analytics,Marketing,2022,2024,F1,Albany,NY,USA,,,
249,John,Campos,john.campos464@slu.edu,MS Analytics,Electrical Engineering,2023,2024,F1,Ann Arbor,MI,USA,,,
250,Jessica,Miller,jessica.miller594@slu.edu,MS Data Science,Business Analytics,2021,2024,CPT,Jacksonville,FL,USA,,,
251,Logan,Harris,logan.harris77@slu.edu,MS Cybersecurity,Computer Science,2020,2023,CPT,Fort Collins,CO,USA,970.0,DevOps Intern,2022-05-13
252,John,Gomez,john.gomez926@slu.edu,MBA,Information Systems,2023,2026,F1,Raleigh,NC,USA,721.0,QA Intern,2024-06-08
253,Alicia,Smith,alicia.smith29@slu.edu,MS Cybersecurity,Software Engineering,2018,2020,STEM-OPT,Colorado Springs,CO,USA,,,
254,Miguel,Cole,miguel.cole225@slu.edu,MS Analytics,Software Engineering,2021,2023,OPT,Raleigh,NC,USA,372.0,Data Analyst Intern,2023-09-04
255,Brittany,Johnson,brittany.johnson811@slu.edu,MBA,Electrical Engineering,2021,2022,F1,Alpharetta,GA,USA,,,
256,Marvin,Waters,marvin.waters550@slu.edu,MS Information Systems,Marketing,2019,2020,F1,Urbana,IL,USA,,,
257,Kim,Brown,kim.brown687@slu.edu,MS Analytics,Marketing,2021,2022,STEM-OPT,Tacoma,WA,USA,,,
258,Natalie,Callahan,natalie.callahan635@slu.edu,MS Information Systems,Cybersecurity,2023,2026,CPT,Tempe,AZ,USA,,,
259,Amanda,Randolph,amanda.randolph134@slu.edu,MS Computer Science,Data Science,2021,2024,CPT,Fort Collins,CO,USA,,,
260,John,Wilkinson,john.wilkinson83@slu.edu,MS Data Science,Software Engineering,2024,2026,STEM-OPT,Urbana,IL,USA,,,
261,Craig,Evans,craig.evans943@slu.edu,MS Computer Science,Electrical Engineering,2019,2020,CPT,San Francisco,CA,USA,,,
262,Denise,Hampton,denise.hampton66@slu.edu,MS Cybersecurity,Computer Science,2018,2021,STEM-OPT,Redmond,WA,USA,,,
263,Nancy,Rodriguez,nancy.rodriguez876@slu.edu,MS Analytics,Electrical Engineering,2020,2021,OPT,Columbus,OH,USA,,,
264,Allison,Johns,allison.johns288@slu.edu,MS Software Engineering,Cybersecurity,2020,2022,OPT,Charlotte,NC,USA,,,
265,Peter,Barber,peter.barber556@slu.edu,MS Information Systems,Biostatistics,2023,2024,OPT,Columbus,OH,USA,,,
266,Stacey,Ayala,stacey.ayala640@slu.edu,MBA,Finance,2021,2022,OPT,Tacoma,WA,USA,,,
267,Jeffrey,Sullivan,jeffrey.sullivan283@slu.edu,MS Analytics,Marketing,2020,2022,F1,Tucson,AZ,USA,,,
268,Eric,Cordova,eric.cordova596@slu.edu,MS Information Systems,Cybersecurity,2020,2023,CPT,Savannah,GA,USA,,,
269,Joseph,Long,joseph.long198@slu.edu,MS Cybersecurity,Computer Science,2020,2023,OPT,Denver,CO,USA,,,
270,Andrew,Dean,andrew.dean356@slu.edu,MS Information Systems,Data Science,2023,2026,CPT,Redmond,WA,USA,493.0,Data Analyst Intern,2024-06-21
271,Barry,Keller,barry.keller58@slu.edu,MS Analytics,Finance,2018,2020,OPT,Dallas,TX,USA,,,
272,Tamara,Torres,tamara.torres453@slu.edu,MS Cybersecurity,Biostatistics,2022,2025,STEM-OPT,Chesterfield,MO,USA,,,
273,Shawn,Daniel,shawn.daniel674@slu.edu,MS Analytics,Data Science,2019,2021,F1,Cincinnati,OH,USA,,,
274,Patricia,Gordon,patricia.gordon785@slu.edu,MS Cybersecurity,Software Engineering,2022,2025,F1,Grand Rapids,MI,USA,,,
275,Angel,Mccall,angel.mccall144@slu.edu,MS Information Systems,Cybersecurity,2023,2024,STEM-OPT,Colorado Springs,CO,USA,,,
276,Jerry,Grant,jerry.grant641@slu.edu,MS Cybersecurity,Computer Science,2021,2022,OPT,Austin,TX,USA,,,
277,Emily,Lopez,emily.lopez93@slu.edu,MS Computer Science,Information Systems,2024,2027,STEM-OPT,Colorado Springs,CO,USA,,,
278,Steven,Houston,steven.houston525@slu.edu,MBA,Electrical Engineering,2020,2023,OPT,Philadelphia,PA,USA,,,
279,Deborah,Garcia,deborah.garcia968@slu.edu,MS Analytics,Computer Science,2021,2024,F1,Clayton,MO,USA,,,
280,Thomas,Owens,thomas.owens303@slu.edu,MS Software Engineering,Biostatistics,2023,2026,OPT,Durham,NC,USA,,,
281,Victoria,Crosby,victoria.crosby947@slu.edu,MS Analytics,Information Systems,2018,2020,F1,Detroit,MI,USA,,,
282,Katherine,Ward,katherine.ward508@slu.edu,MS Software Engineering,Information Systems,2018,2019,STEM-OPT,Cary,NC,USA,,,
283,Joy,Perez,joy.perez552@slu.edu,MS Cybersecurity,Data Science,2024,2026,STEM-OPT,Boston,MA,USA,392.0,Research Assistant,2025-04-16
284,Robert,Todd,robert.todd700@slu.edu,MS Computer Science,Software Engineering,2018,2021,CPT,Ann Arbor,MI,USA,,,
285,Amy,Warner,amy.warner990@slu.edu,MS Data Science,Finance,2020,2023,OPT,Atlanta,GA,USA,,,
286,Sydney,Mccormick,sydney.mccormick279@slu.edu,MS Cybersecurity,Biostatistics,2021,2023,OPT,Durham,NC,USA,,,
287,George,Garza,george.garza73@slu.edu,MS Cybersecurity,Information Systems,2021,2023,CPT,Clayton,MO,USA,,,
288,Keith,Tucker,keith.tucker219@slu.edu,MS Software Engineering,Finance,2018,2019,OPT,Alpharetta,GA,USA,,,
289,Mario,Hunter,mario.hunter510@slu.edu,MS Cybersecurity,Finance,2022,2025,STEM-OPT,San Jose,CA,USA,563.0,QA Intern,2025-06-28
290,Maria,Santos,maria.santos618@slu.edu,MS Data Science,Marketing,2024,2026,STEM-OPT,Fort Collins,CO,USA,,,
291,Randy,Hernandez,randy.hernandez974@slu.edu,MS Computer Science,Data Science,2024,2027,F1,Springfield,IL,USA,,,
292,Patrick,Salas,patrick.salas785@slu.edu,MS Information Systems,Computer Science,2019,2020,F1,Rochester,NY,USA,614.0,Research Assistant,2020-12-25
293,Lance,Roberts,lance.roberts846@slu.edu,MS Software Engineering,Cybersecurity,2021,2024,CPT,Alpharetta,GA,USA,367.0,Data Analyst Intern,2023-04-05
294,Stacy,Wilson,stacy.wilson253@slu.edu,MS Cybersecurity,Data Science,2024,2026,CPT,Peoria,IL,USA,260.0,Software Intern,2026-08-12
295,Yvette,Crawford,yvette.crawford766@slu.edu,MBA,Marketing,2020,2021,CPT,Colorado Springs,CO,USA,,,
296,Nicholas,Kim,nicholas.kim652@slu.edu,MS Analytics,Cybersecurity,2020,2021,STEM-OPT,Denver,CO,USA,,,
297,David,Martin,david.martin113@slu.edu,MBA,Cybersecurity,2020,2021,CPT,Irvine,CA,USA,,,
298,Mary,Conner,mary.conner200@slu.edu,MS Data Science,Cybersecurity,2023,2025,OPT,Austin,TX,USA,,,
299,Julia,Wilson,julia.wilson856@slu.edu,MS Data Science,Data Science,2023,2026,STEM-OPT,Miami,FL,USA,,,
300,Jose,Mckee,jose.mckee704@slu.edu,MS Analytics,Electrical Engineering,2019,2020,OPT,Peoria,IL,USA,622.0,Research Assistant,2019-02-12
301,Alexa,Simmons,alexa.simmons545@slu.edu,MS Software Engineering,Data Science,2024,2027,CPT,Los Angeles,CA,USA,385.0,Software Intern,2025-06-02
302,Todd,Collins,todd.collins394@slu.edu,MS Software Engineering,Finance,2018,2021,CPT,Columbus,OH,USA,,,
303,Joseph,Duarte,joseph.duarte270@slu.edu,MS Data Science,Cybersecurity,2019,2020,CPT,Fort Collins,CO,USA,,,
304,Jeremy,Edwards,jeremy.edwards895@slu.edu,MS Software Engineering,Marketing,2022,2024,OPT,Orlando,FL,USA,547.0,QA Intern,2023-09-17
305,William,Shepherd,william.shepherd444@slu.edu,MS Cybersecurity,Finance,2023,2024,F1,Raleigh,NC,USA,,,
306,Curtis,King,curtis.king644@slu.edu,MS Software Engineering,Electrical Engineering,2021,2022,STEM-OPT,Dallas,TX,USA,,,
307,Albert,Mckenzie,albert.mckenzie402@slu.edu,MS Cybersecurity,Marketing,2024,2026,OPT,Seattle,WA,USA,,,
308,Thomas,Randall,thomas.randall547@slu.edu,MS Computer Science,Finance,2022,2023,STEM-OPT,San Diego,CA,USA,,,
309,James,Harris,james.harris87@slu.edu,MS Cybersecurity,Data Science,2020,2022,STEM-OPT,Tampa,FL,USA,,,
310,Kayla,Smith,kayla.smith268@slu.edu,MS Software Engineering,Business Analytics,2019,2022,F1,Miami,FL,USA,,,
311,Debra,Dudley,debra.dudley149@slu.edu,MS Computer Science,Software Engineering,2018,2019,F1,San Diego,CA,USA,,,
312,Jordan,Wallace,jordan.wallace802@slu.edu,MS Cybersecurity,Computer Science,2021,2024,F1,Springfield,IL,USA,910.0,Software Intern,2024-11-06
313,Maria,Parrish,maria.parrish794@slu.edu,MS Software Engineering,Business Analytics,2018,2021,CPT,Savannah,GA,USA,879.0,DevOps Intern,2019-05-24
314,Janice,Parker,janice.parker779@slu.edu,MS Information Systems,Cybersecurity,2021,2023,OPT,Irvine,CA,USA,,,
315,Patricia,Rodgers,patricia.rodgers375@slu.edu,MS Computer Science,Cybersecurity,2024,2026,STEM-OPT,Denver,CO,USA,,,
316,Catherine,Watson,catherine.watson461@slu.edu,MS Data Science,Data Science,2024,2025,STEM-OPT,Durham,NC,USA,,,
317,Anthony,Douglas,anthony.douglas51@slu.edu,MS Information Systems,Electrical Engineering,2018,2021,CPT,Albany,NY,USA,,,
318,Donna,Brown,donna.brown806@slu.edu,MS Software Engineering,Computer Science,2021,2022,OPT,Cleveland,OH,USA,,,
319,Susan,Rivera,susan.rivera446@slu.edu,MS Software Engineering,Cybersecurity,2021,2024,CPT,New York,NY,USA,,,
320,Nicole,Patterson,nicole.patterson878@slu.edu,MS Analytics,Business Analytics,2018,2021,CPT,Tacoma,WA,USA,,,
321,Katherine,Bryan,katherine.bryan899@slu.edu,MS Data Science,Software Engineering,2023,2024,STEM-OPT,Ann Arbor,MI,USA,,,
322,Chelsea,Garza,chelsea.garza445@slu.edu,MS Information Systems,Finance,2024,2025,CPT,Savannah,GA,USA,,,
323,Aaron,Morse,aaron.morse122@slu.edu,MS Analytics,Computer Science,2022,2024,F1,Columbia,MO,USA,,,
324,John,Henry,john.henry886@slu.edu,MS Computer Science,Data Science,2019,2021,OPT,Jacksonville,FL,USA,,,
325,Ethan,Moore,ethan.moore718@slu.edu,MS Analytics,Biostatistics,2018,2021,STEM-OPT,Pittsburgh,PA,USA,338.0,DevOps Intern,2018-12-24
326,Lisa,Castro,lisa.castro154@slu.edu,MBA,Computer Science,2024,2025,OPT,Cambridge,MA,USA,272.0,QA Intern,2024-12-09
327,Robert,Zavala,robert.zavala979@slu.edu,MBA,Business Analytics,2023,2025,CPT,Pittsburgh,PA,USA,,,
328,Gabrielle,Powell,gabrielle.powell273@slu.edu,MS Analytics,Biostatistics,2024,2025,CPT,Columbia,MO,USA,496.0,Data Analyst Intern,2025-06-04
329,Anthony,Trujillo,anthony.trujillo531@slu.edu,MS Information Systems,Computer Science,2024,2026,OPT,San Diego,CA,USA,532.0,Software Intern,2024-04-07
330,Ashley,Arnold,ashley.arnold486@slu.edu,MS Cybersecurity,Finance,2023,2026,F1,Tacoma,WA,USA,,,
331,Christina,Ross,christina.ross972@slu.edu,MS Cybersecurity,Biostatistics,2022,2025,OPT,Colorado Springs,CO,USA,,,
332,Dwayne,Hernandez,dwayne.hernandez452@slu.edu,MBA,Computer Science,2024,2027,OPT,Cincinnati,OH,USA,,,
333,Maria,Baldwin,maria.baldwin543@slu.edu,MS Software Engineering,Cybersecurity,2020,2021,OPT,Boulder,CO,USA,255.0,Software Intern,2020-10-18
334,Michael,Rivera,michael.rivera442@slu.edu,MBA,Biostatistics,2024,2025,STEM-OPT,Alpharetta,GA,USA,,,
335,David,Smith,david.smith85@slu.edu,MS Software Engineering,Cybersecurity,2023,2024,OPT,Columbus,OH,USA,,,
336,Angela,Higgins,angela.higgins607@slu.edu,MS Cybersecurity,Data Science,2019,2021,STEM-OPT,Atlanta,GA,USA,271.0,Software Intern,2021-05-30
337,Christine,Moore,christine.moore805@slu.edu,MS Computer Science,Software Engineering,2021,2024,STEM-OPT,Cincinnati,OH,USA,214.0,DevOps Intern,2024-02-24
338,Gene,Richards,gene.richards322@slu.edu,MS Software Engineering,Data Science,2018,2020,STEM-OPT,White Plains,NY,USA,533.0,Data Analyst Intern,2018-02-25
339,Eric,Underwood,eric.underwood269@slu.edu,MS Software Engineering,Information Systems,2024,2027,STEM-OPT,Springfield,IL,USA,,,
340,Teresa,Johnson,teresa.johnson67@slu.edu,MS Data Science,Finance,2022,2025,OPT,Tampa,FL,USA,,,
341,Lisa,Roberts,lisa.roberts238@slu.edu,MS Analytics,Business Analytics,2018,2021,CPT,Redmond,WA,USA,,,
342,Valerie,Dawson,valerie.dawson707@slu.edu,MS Computer Science,Information Systems,2021,2024,STEM-OPT,Ann Arbor,MI,USA,272.0,Data Analyst Intern,2024-03-12
343,Jessica,Stevens,jessica.stevens365@slu.edu,MS Data Science,Marketing,2018,2019,OPT,Cleveland,OH,USA,,,
344,Jared,Hull,jared.hull364@slu.edu,MS Cybersecurity,Computer Science,2023,2024,F1,Alpharetta,GA,USA,719.0,QA Intern,2023-07-15
345,Sean,Scott,sean.scott547@slu.edu,MS Cybersecurity,Finance,2018,2019,STEM-OPT,Cincinnati,OH,USA,,,
346,Carlos,Copeland,carlos.copeland669@slu.edu,MS Cybersecurity,Marketing,2024,2025,OPT,Tempe,AZ,USA,258.0,DevOps Intern,2024-08-29
347,Benjamin,Ford,benjamin.ford966@slu.edu,MBA,Data Science,2020,2022,CPT,Philadelphia,PA,USA,,,
348,Cheryl,Morales,cheryl.morales967@slu.edu,MBA,Computer Science,2023,2026,F1,Plano,TX,USA,,,
349,Melissa,Saunders,melissa.saunders799@slu.edu,MS Analytics,Cybersecurity,2023,2026,STEM-OPT,Pittsburgh,PA,USA,769.0,Research Assistant,2025-09-29
350,Jeff,Salazar,jeff.salazar16@slu.edu,MBA,Computer Science,2023,2024,STEM-OPT,Miami,FL,USA,713.0,Research Assistant,2024-08-18
351,Tyler,Keller,tyler.keller299@slu.edu,MS Analytics,Electrical Engineering,2022,2024,F1,Alpharetta,GA,USA,,,
352,Elizabeth,Mcdonald,elizabeth.mcdonald986@slu.edu,MS Computer Science,Data Science,2021,2022,OPT,Cincinnati,OH,USA,,,
353,Anthony,Freeman,anthony.freeman974@slu.edu,MS Data Science,Marketing,2019,2021,OPT,Dallas,TX,USA,958.0,Software Intern,2020-04-04
354,Pamela,Mitchell,pamela.mitchell305@slu.edu,MS Software Engineering,Finance,2018,2021,F1,Columbus,OH,USA,452.0,Data Analyst Intern,2019-04-12
355,Kathryn,Martin,kathryn.martin747@slu.edu,MS Cybersecurity,Information Systems,2023,2025,CPT,Ann Arbor,MI,USA,,,
356,Timothy,Moore,timothy.moore857@slu.edu,MBA,Biostatistics,2019,2020,F1,Savannah,GA,USA,,,
357,Zachary,Wilson,zachary.wilson634@slu.edu,MS Information Systems,Finance,2023,2026,OPT,Somerville,MA,USA,754.0,Software Intern,2023-11-11
358,Ryan,Perez,ryan.perez694@slu.edu,MS Computer Science,Business Analytics,2023,2024,F1,Springfield,MO,USA,829.0,Data Analyst Intern,2023-12-28
359,Jeffrey,Collins,jeffrey.collins455@slu.edu,MS Data Science,Biostatistics,2024,2025,OPT,Detroit,MI,USA,,,
360,Anne,Walters,anne.walters616@slu.edu,MS Analytics,Computer Science,2022,2024,F1,San Diego,CA,USA,,,
361,Daniel,Lewis,daniel.lewis430@slu.edu,MS Software Engineering,Information Systems,2020,2023,CPT,Pittsburgh,PA,USA,,,
362,Elizabeth,Love,elizabeth.love546@slu.edu,MS Software Engineering,Finance,2024,2026,CPT,Chesterfield,MO,USA,803.0,QA Intern,2026-09-23
363,Gail,Stevens,gail.stevens655@slu.edu,MS Cybersecurity,Business Analytics,2018,2020,OPT,Pittsburgh,PA,USA,,,
364,Rebecca,Shannon,rebecca.shannon444@slu.edu,MS Data Science,Finance,2023,2025,STEM-OPT,Philadelphia,PA,USA,,,
365,Tanya,Nelson,tanya.nelson388@slu.edu,MS Computer Science,Business Analytics,2023,2024,F1,Tampa,FL,USA,457.0,DevOps Intern,2024-03-23
366,Michael,Cunningham,michael.cunningham589@slu.edu,MS Data Science,Electrical Engineering,2020,2021,OPT,Grand Rapids,MI,USA,,,
367,Elizabeth,Cole,elizabeth.cole506@slu.edu,MS Computer Science,Electrical Engineering,2024,2025,OPT,Springfield,MO,USA,,,
368,Sarah,Hill,sarah.hill332@slu.edu,MS Cybersecurity,Data Science,2023,2026,CPT,Grand Rapids,MI,USA,,,
369,Kiara,Hughes,kiara.hughes825@slu.edu,MS Information Systems,Software Engineering,2023,2025,F1,Clayton,MO,USA,,,
370,Thomas,Lawrence,thomas.lawrence208@slu.edu,MS Information Systems,Electrical Engineering,2022,2024,CPT,Tampa,FL,USA,377.0,DevOps Intern,2022-10-30
371,Michael,Cooke,michael.cooke252@slu.edu,MBA,Electrical Engineering,2021,2022,STEM-OPT,Scottsdale,AZ,USA,258.0,QA Intern,2022-08-22
372,Darryl,Thompson,darryl.thompson200@slu.edu,MS Computer Science,Biostatistics,2018,2020,CPT,Chicago,IL,USA,,,
373,Michael,Perez,michael.perez90@slu.edu,MS Software Engineering,Biostatistics,2024,2026,F1,Seattle,WA,USA,,,
374,Kathryn,Thomas,kathryn.thomas672@slu.edu,MS Data Science,Data Science,2024,2025,STEM-OPT,Peoria,IL,USA,,,
375,Jonathan,Cantu,jonathan.cantu288@slu.edu,MS Information Systems,Computer Science,2018,2021,F1,Savannah,GA,USA,,,
376,Jason,Williamson,jason.williamson267@slu.edu,MS Information Systems,Finance,2021,2023,CPT,Tucson,AZ,USA,,,
377,Scott,Smith,scott.smith616@slu.edu,MS Data Science,Business Analytics,2020,2023,STEM-OPT,Bellevue,WA,USA,,,
378,Robert,Thompson,robert.thompson183@slu.edu,MS Computer Science,Electrical Engineering,2022,2024,STEM-OPT,San Diego,CA,USA,,,
379,Andrea,Robinson,andrea.robinson522@slu.edu,MS Analytics,Software Engineering,2021,2023,CPT,Denver,CO,USA,,,
380,David,Reyes,david.reyes995@slu.edu,MS Software Engineering,Software Engineering,2024,2025,CPT,Cambridge,MA,USA,,,
381,Diana,Howard,diana.howard281@slu.edu,MS Data Science,Data Science,2024,2025,CPT,Los Angeles,CA,USA,,,
382,Sarah,Pierce,sarah.pierce863@slu.edu,MS Analytics,Software Engineering,2021,2022,CPT,Denver,CO,USA,63.0,QA Intern,2021-08-08
383,Eric,Fitzgerald,eric.fitzgerald387@slu.edu,MS Analytics,Data Science,2024,2026,F1,Grand Rapids,MI,USA,,,
384,Shelby,Warner,shelby.warner66@slu.edu,MS Analytics,Computer Science,2022,2024,F1,Chesterfield,MO,USA,,,
385,Ryan,Roberts,ryan.roberts99@slu.edu,MS Analytics,Marketing,2019,2021,STEM-OPT,Naperville,IL,USA,,,
386,Louis,Martinez,louis.martinez381@slu.edu,MS Computer Science,Biostatistics,2021,2022,F1,Philadelphia,PA,USA,,,
387,Sydney,Wood,sydney.wood468@slu.edu,MS Information Systems,Marketing,2018,2020,STEM-OPT,Cambridge,MA,USA,,,
388,Jay,Meyer,jay.meyer918@slu.edu,MS Cybersecurity,Finance,2018,2021,CPT,San Antonio,TX,USA,,,
389,Ronald,Clay,ronald.clay982@slu.edu,MBA,Marketing,2021,2024,F1,Harrisburg,PA,USA,,,
390,Laura,Campos,laura.campos204@slu.edu,MBA,Marketing,2022,2023,CPT,Detroit,MI,USA,316.0,Data Analyst Intern,2022-07-17
391,Luis,Nichols,luis.nichols155@slu.edu,MS Information Systems,Software Engineering,2024,2027,OPT,Atlanta,GA,USA,,,
392,Brenda,Santana,brenda.santana84@slu.edu,MS Information Systems,Electrical Engineering,2019,2021,CPT,Redmond,WA,USA,290.0,Data Analyst Intern,2019-10-18
393,Peter,Lindsey,peter.lindsey378@slu.edu,MS Cybersecurity,Information Systems,2024,2026,STEM-OPT,Boston,MA,USA,,,
394,Michael,Monroe,michael.monroe881@slu.edu,MS Data Science,Biostatistics,2022,2024,STEM-OPT,Buffalo,NY,USA,,,
395,Diane,Ramirez,diane.ramirez268@slu.edu,MS Information Systems,Electrical Engineering,2023,2026,STEM-OPT,Durham,NC,USA,,,
396,Richard,Rivera,richard.rivera964@slu.edu,MS Cybersecurity,Biostatistics,2018,2020,CPT,Peoria,IL,USA,,,
